county,registered_voters,per_turnout,not_voted,orourke,per_orourke,abbott,per_abbott,last_updated,winning,margin
DEAF SMITH,8764,0.33626198083067094,5817,635,21.55,2281,77.4,"Dec 13, 2022, 10:49PM",Greg Abbott,1646
DELTA,3975,0.509937106918239,1948,295,14.55,1711,84.41,"Dec 13, 2022, 10:49PM",Greg Abbott,1416
DENTON,606275,0.5241532307946064,288494,136389,42.92,177017,55.7,"Dec 13, 2022, 10:49PM",Greg Abbott,40628
DEWITT,12174,0.4978643009692788,6113,878,14.49,5151,84.99,"Dec 13, 2022, 10:49PM",Greg Abbott,4273
DICKENS,1370,0.5773722627737227,579,98,12.39,684,86.47,"Dec 13, 2022, 10:49PM",Greg Abbott,586
DIMMIT,6982,0.4119163563448868,4106,1757,61.09,1080,37.55,"Dec 13, 2022, 10:49PM",Beto O'Rourke,677
DONLEY,2225,0.5357303370786517,1033,97,8.14,1084,90.94,"Dec 13, 2022, 10:49PM",Greg Abbott,987
DUVAL,8129,0.45220814368310985,4453,2018,54.9,1600,43.53,"Dec 13, 2022, 10:49PM",Beto O'Rourke,418
EASTLAND,12282,0.5007327796775769,6132,634,10.31,5468,88.91,"Dec 13, 2022, 10:49PM",Greg Abbott,4834
ECTOR,83323,0.3054258728082282,57874,5950,23.38,19212,75.49,"Dec 13, 2022, 10:49PM",Greg Abbott,13262
EDWARDS,1461,0.5571526351813826,647,99,12.16,712,87.47,"Dec 13, 2022, 10:49PM",Greg Abbott,613
ELLIS,131057,0.5171032451528724,63287,21338,31.49,45564,67.23,"Dec 13, 2022, 10:49PM",Greg Abbott,24226
EL PASO,506554,0.3266107858194783,341108,105156,63.56,57573,34.8,"Dec 13, 2022, 10:49PM",Beto O'Rourke,47583
ERATH,24860,0.5275543041029767,11745,1976,15.07,10956,83.54,"Dec 13, 2022, 10:49PM",Greg Abbott,8980
FALLS,10302,0.4565132983886624,5599,1168,24.84,3480,74.0,"Dec 13, 2022, 10:49PM",Greg Abbott,2312
FANNIN,23363,0.49929375508282325,11698,1831,15.7,9694,83.1,"Dec 13, 2022, 10:49PM",Greg Abbott,7863
FAYETTE,17810,0.5895564289724874,7310,1748,16.65,8649,82.37,"Dec 13, 2022, 10:49PM",Greg Abbott,6901
